,text,
0,She made it! Pam lining up ready to board the ship of dreams to feed the UAE in February and… https://t.co/db0xulXZ9z,
1,~💗 @ Fortnum &amp; Mason https://t.co/4fSzfWBAbs,
2,@LetchikSnayper Biggest downside I see so far is that the TEL only takes 2 missiles. Opposed to the S-400's 4 missiles per TEL.,
3,4 days until I get to see all my pals &amp; get back on the sesh BUZZIN' https://t.co/kSyivMbz7C,
4,@Citymapper How do I sync apple watch?,
5,@PeteOlympian tangles is a goodun!,
6,@IUredhead aw hope it goes well. Aw thanks xx,
7,Playboy our Lilac Tri English bulldog just had his 1st bath don't think he enjoyed it at all https://t.co/m0KOSobgxC,
8,"Literally any film is making me cry atm, just got emotional when she sells her scarf in confessions of a shopaholic 😂",
9,@abbawilts LOVE it great #content,
10,#Russia announced plans to return Admiral Kuznetsov aircraft carrier from #Syria back to #Arctic by end of Jan'17:… https://t.co/kXDE2qB6Rc,
11,BREAKING: Two people killed in Yaxley 'incident' https://t.co/wYGZphZTpg #Peterborough https://t.co/udy8MWm4Ew,
12,"To anyone that performed any acts of treachery against me in 2016, delete my number and do not contact me ever again.",
13,StockMarketWire UPDATE: Euro/Dollar down -0.78% @ 1.0385 https://t.co/rAwguZaM0u https://t.co/GJtVCdlZFY,
14,omg me right now 😭 https://t.co/LRoZxD20bY,
15,StockMarketWire UPDATE: Pound/Dollar unchanged @ 1.2277 https://t.co/E0EHAk8XI1 https://t.co/GJtVCdlZFY,
16,"@mrjamesob 
We don't want people in place who know what they are doing.",
17,If at first you don't succeed... keep trying!,
18,"Here's a Nifty little tool #json Pretty Print https://t.co/dA2iXAhVzk
#webdeveloper #javascript",
19,Over half the tickets are gone for Roald Dahl's Marvellous Medicine in @BlackBoxBelfast during #NISF17… https://t.co/rpOkIdT0ZL,
20,"A lovely weekend in Amsterdam ruined by @vueling. 4 hours of delays, 2 destroyed bags and very poor customer service. #vueling #travel",
21,@OxfordAlt100   Do any of your members use sissies?,
22,@TheRealNeilDH @jonworth @Change_Britain don't think so! Most stupid people have been manipulated by the Press Barons! Not the same!,
23,"@southmaninlimbo Happy New Year to you, all the best  ( ;",
24,"@JayKay_Arinze lmao you all disgust me, that's why you get 20 coaches a season. Bad strategy",
25,@ed_saye exhibition NO PROMISED LAND @Foundry_Gallery has been extended until 26 January!! https://t.co/1UwPQMUGId,
26,@inhaletheheavy @kenk666 @_jeremiahn @jshstew @FVSantorelli @JosephMagnuson @headovmetal @cmvoss042 @CelticFrosty hope it's all ok so far,
27,https://t.co/8SVMtOOtjw @JLcustserv why advertise a product not in stock and offer ends 15/01/17,
28,Miss my lil Millie moo so much today 😩 https://t.co/bTBFDasieG,
29,"@nakedvix I’m not going to get into aspirational politics, because that sounds a bit Tory and they make me want to vomit right now..",
30,@ChelseaSilsby ...........you might like this candle lolololol s #waves https://t.co/tgpUvWJhhc,
31,@thebrainofspock here's mine! https://t.co/uRLSwscd4I,
32,@Rotorino thank you. I think that's right actually,
33,HAPPY NEW YEAR TO ALL OF YOU 💖 Ready for this new year full of new adventures !! #getready #staytuned #surprise https://t.co/7uaJWLGUmk,
34,Judge backs ban on abusers using civil and family courts to harass victims https://t.co/xMpky7taxi,
35,"Me Against The World by Simple Plan is #nowplaying in The White Ferry, London.",
36,Sutton is ridiculous but this is hilarious 🎣 https://t.co/fWY25Dc1A9,
37,Wow what a wanker https://t.co/a7eLXsOEG6,
38,@Auriga__ @MstrColm @andybitesdog Flight-wise who are you looking at?,
39,"@DrAlexConcorde @berngiacomazzo Ah you're from the UK, that figures. Yes we are proud and hope it stays that way.",
40,Free Live'Reduce Alcohol'webinar tonight &gt; @HypnoSharon on @meemeetv Jan 3rd 7.30pmGMT https://t.co/LY1PWofhoq Join… https://t.co/8qyqeeH1YL,
41,"Or ""Matty, my girlfriend loves you"" and he said ""well bad for you then""",
42,"""LDNZ""
Tickets are now available thru @dicefm 
https://t.co/j7m9nMoo1T",
43,@scd_support ore and jos jive,
44,@LBC Why are you ok with someone who represents you retweeting actual Nazis as proof that others agree with your vile racist views?,
45,I'm gonna do a shot every time I mention free indirect style in this essay.,
46,"my bills have gone out, I have 7.50 until the 20th let's do this lmao rip me",
47,Disgusting hashtag in Mexico #golpearmujeresfelicidad (#beatingwomenishappiness) reminds us we have a long way to go to end #VAWG,
48,@Spike______ @karen_pleasance I meant Dame Dave....this is a mere sharing of less than witty ripostes ...😆,
49,Tai loving his Christmas pressie! Thank you jade.vt manu_vt_ 100bv 😘🐾 @ Parsons Green https://t.co/hUBL0ShI1M,
